id,inst_type,inst_id,US_region,PUI_RI,world_region,Other_inst_type
1_2019-2020,offer_institutions,4675,NA,NA,NA,NA
2_2019-2020,offer_institutions,3103,Northeast,RI,USA,US college or university
3_2019-2020,offer_institutions,4675,NA,NA,NA,NA
4_2019-2020,offer_institutions,4675,NA,NA,NA,NA
5_2019-2020,offer_institutions,0,NA,NA,NA,NA
6_2019-2020,offer_institutions,4675,NA,NA,NA,NA
7_2019-2020,offer_institutions,3665,Northeast,RI,USA,US college or university
8_2019-2020,offer_institutions,4675,NA,NA,NA,NA
9_2019-2020,offer_institutions,0,NA,NA,NA,NA
10_2019-2020,offer_institutions,4675,NA,NA,NA,NA
11_2019-2020,offer_institutions,4675,NA,NA,NA,NA
12_2019-2020,offer_institutions,4330,NA,RI,European,NA
13_2019-2020,offer_institutions,4675,NA,NA,NA,NA
14_2019-2020,offer_institutions,4675,NA,NA,NA,NA
15_2019-2020,offer_institutions,3780,Midwest,RI,USA,US college or university
16_2019-2020,offer_institutions,4675,NA,NA,NA,NA
17_2019-2020,offer_institutions,4675,NA,NA,NA,NA
18_2019-2020,offer_institutions,4675,NA,NA,NA,NA
19_2019-2020,offer_institutions,3939,Southeast,RI,USA,US college or university
20_2019-2020,offer_institutions,4675,NA,NA,NA,NA
21_2019-2020,offer_institutions,4675,NA,NA,NA,NA
22_2019-2020,offer_institutions,4675,NA,NA,NA,NA
23_2019-2020,offer_institutions,0,NA,NA,NA,NA
24_2019-2020,offer_institutions,4675,NA,NA,NA,NA
25_2019-2020,offer_institutions,4675,NA,NA,NA,NA
26_2019-2020,offer_institutions,4675,NA,NA,NA,NA
27_2019-2020,offer_institutions,2210,Midwest,PUI,USA,US college or university
28_2019-2020,offer_institutions,4675,NA,NA,NA,NA
29_2019-2020,offer_institutions,4675,NA,NA,NA,NA
30_2019-2020,offer_institutions,4675,NA,NA,NA,NA
31_2019-2020,offer_institutions,4675,NA,NA,NA,NA
32_2019-2020,offer_institutions,0,NA,NA,NA,NA
33_2019-2020,offer_institutions,4675,NA,NA,NA,NA
34_2019-2020,offer_institutions,4675,NA,NA,NA,NA
35_2019-2020,offer_institutions,4675,NA,NA,NA,NA
36_2019-2020,offer_institutions,4675,NA,NA,NA,NA
37_2019-2020,offer_institutions,4675,NA,NA,NA,NA
38_2019-2020,offer_institutions,195,Southwest,RI,USA,US college or university
39_2019-2020,offer_institutions,4675,NA,NA,NA,NA
40_2019-2020,offer_institutions,4675,NA,NA,NA,NA
41_2019-2020,offer_institutions,3610,Northeast,RI,USA,US college or university
43_2019-2020,offer_institutions,4675,NA,NA,NA,NA
44_2019-2020,offer_institutions,3794,Rocky Mountains,RI,USA,US college or university
46_2019-2020,offer_institutions,4675,NA,NA,NA,NA
47_2019-2020,offer_institutions,4675,NA,NA,NA,NA
48_2019-2020,offer_institutions,4675,NA,NA,NA,NA
49_2019-2020,offer_institutions,4675,NA,NA,NA,NA
50_2019-2020,offer_institutions,4675,NA,NA,NA,NA
51_2019-2020,offer_institutions,4675,NA,NA,NA,NA
52_2019-2020,offer_institutions,2965,Northeast,RI,USA,US college or university
53_2019-2020,offer_institutions,4675,NA,NA,NA,NA
54_2019-2020,offer_institutions,958,Northeast,RI,USA,US college or university
55_2019-2020,offer_institutions,3677,Southeast,RI,USA,US college or university
56_2019-2020,offer_institutions,4675,NA,NA,NA,NA
57_2019-2020,offer_institutions,4675,NA,NA,NA,NA
58_2019-2020,offer_institutions,4312,NA,RI,Western Pacific,NA
59_2019-2020,offer_institutions,3762,Southeast,RI,USA,US college or university
60_2019-2020,offer_institutions,4675,NA,NA,NA,NA
61_2019-2020,offer_institutions,4675,NA,NA,NA,NA
62_2019-2020,offer_institutions,708,Southwest,PUI,USA,US college or university
63_2019-2020,offer_institutions,0,NA,NA,NA,NA
64_2019-2020,offer_institutions,3095,Pacific,PUI,USA,US college or university
65_2019-2020,offer_institutions,195,Southwest,RI,USA,US college or university
66_2019-2020,offer_institutions,0,NA,NA,NA,NA
67_2019-2020,offer_institutions,0,NA,NA,NA,NA
68_2019-2020,offer_institutions,0,NA,NA,NA,NA
69_2019-2020,offer_institutions,4675,NA,NA,NA,NA
70_2019-2020,offer_institutions,4165,Pacific,PUI,USA,US college or university
71_2019-2020,offer_institutions,0,NA,NA,NA,NA
72_2019-2020,offer_institutions,195,Southwest,RI,USA,US college or university
73_2019-2020,offer_institutions,4675,NA,NA,NA,NA
74_2019-2020,offer_institutions,4675,NA,NA,NA,NA
75_2019-2020,offer_institutions,4675,NA,NA,NA,NA
76_2019-2020,offer_institutions,4675,NA,NA,NA,NA
77_2019-2020,offer_institutions,4675,NA,NA,NA,NA
78_2019-2020,offer_institutions,4675,NA,NA,NA,NA
79_2019-2020,offer_institutions,0,NA,NA,NA,NA
80_2019-2020,offer_institutions,1213,Southeast,RI,USA,US college or university
81_2019-2020,offer_institutions,4675,NA,NA,NA,NA
82_2019-2020,offer_institutions,4675,NA,NA,NA,NA
83_2019-2020,offer_institutions,4675,NA,NA,NA,NA
84_2019-2020,offer_institutions,271,Midwest,RI,USA,US college or university
85_2019-2020,offer_institutions,2965,Northeast,RI,USA,US college or university
86_2019-2020,offer_institutions,2247,Northeast,PUI,USA,US college or university
87_2019-2020,offer_institutions,299,Southwest,RI,USA,US college or university
88_2019-2020,offer_institutions,4675,NA,NA,NA,NA
90_2019-2020,offer_institutions,4675,NA,NA,NA,NA
91_2019-2020,offer_institutions,4675,NA,NA,NA,NA
92_2019-2020,offer_institutions,2680,Northeast,RI,USA,US college or university
93_2019-2020,offer_institutions,4675,NA,NA,NA,NA
94_2019-2020,offer_institutions,3793,Rocky Mountains,RI,USA,US college or university
95_2019-2020,offer_institutions,4091,Pacific,RI,USA,US college or university
96_2019-2020,offer_institutions,4675,NA,NA,NA,NA
97_2019-2020,offer_institutions,4675,NA,NA,NA,NA
98_2019-2020,offer_institutions,4675,NA,NA,NA,NA
99_2019-2020,offer_institutions,3921,Southeast,PUI,USA,US college or university
100_2019-2020,offer_institutions,4675,NA,NA,NA,NA
101_2019-2020,offer_institutions,3490,Rocky Mountains,PUI,USA,US college or university
102_2019-2020,offer_institutions,4675,NA,NA,NA,NA
103_2019-2020,offer_institutions,4675,NA,NA,NA,NA
104_2019-2020,offer_institutions,4675,NA,NA,NA,NA
105_2019-2020,offer_institutions,4675,NA,NA,NA,NA
106_2019-2020,offer_institutions,4675,NA,NA,NA,NA
107_2019-2020,offer_institutions,4675,NA,NA,NA,NA
108_2019-2020,offer_institutions,799,Southeast,PUI,USA,US college or university
109_2019-2020,offer_institutions,4675,NA,NA,NA,NA
