id,on_site_interviews,faculty_offers,covid_offers_rescinded,offer_responses,race_ethnicity,R1_apps_submitted,PUI_apps_submitted,gender,research_category,covid_alter_research,position,first_gen_phd,commitment_impact
1,1,1,1,I accepted an offer at a primarily undergraduate institution,Caucasian-American/European,0,2,Man,"Social, Behavior, & Economic Sciences",NA,Postdoc,Yes,Become weaker
2,2,0,NA,NA,Caucasian-American/European,2,0,Man,Biological Sciences,NA,Postdoc,Yes,Not changed
3,1,0,NA,I did not recieve any offers,"Caucasian-American/European,Asian-American/Asian",7,7,Man,Biological Sciences,NA,Postdoc,No,Become weaker
4,0,0,0,I did not recieve any offers,Caucasian-American/European,30,8,Man,Biological Sciences,NA,Non-tenure track faculty (e.g. research associate…),Yes,Become weaker
5,0,0,0,I did not recieve any offers,Asian-American/Asian,0,0,Woman,Biological Sciences,Not at all,Postdoc,Yes,Not changed
6,4,1,0,I accepted an offer at a research-intensive institution,Caucasian-American/European,12,1,Woman,"Social, Behavior, & Economic Sciences",NA,Postdoc,Yes,Become stronger
7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,0,0,0,I did not recieve any offers,Asian-American/Asian,24,0,Man,Biological Sciences,NA,Postdoc,Yes,Become weaker
9,9,3,0,I accepted an offer at a research-intensive institution,Asian-American/Asian,18,0,Man,Biological Sciences,NA,Postdoc,Yes,Become stronger
10,0,0,NA,I did not recieve any offers,Caucasian-American/European,5,0,Man,Chemistry,Not at all,Postdoc,Yes,Not changed
11,2,1,0,I accepted an offer at a research-intensive institution,Caucasian-American/European,17,0,Man,Biological Sciences,NA,Postdoc,Yes,Not changed
12,2,2,0,"I accepted an offer at a research-intensive institution,I rejected offer(s) because the start up package was insufficient",Caucasian-American/European,9,1,Woman,Biological Sciences,NA,Non-tenure track faculty (e.g. research associate…),Yes,Become stronger
13,0,0,NA,I did not recieve any offers,Caucasian-American/European,1,9,Woman,"Social, Behavior, & Economic Sciences",Not at all,Postdoc,Yes,Become stronger
14,1,1,0,I accepted an offer at a research-intensive institution,Caucasian-American/European,1,0,Woman,Biological Sciences,Not at all,Postdoc,Yes,Not changed
15,1,0,NA,I did not recieve any offers,Caucasian-American/European,34,0,Woman,Biological Sciences,NA,Postdoc,Yes,Become weaker
16,2,0,0,I did not recieve any offers,Caucasian-American/European,0,3,Woman,Biological Sciences,Not at all,Postdoc,Yes,Become weaker
17,0,0,NA,I did not recieve any offers,Caucasian-American/European,30,44,Non-binary,Biological Sciences,NA,Postdoc,Yes,Not changed
18,6,3,0,I accepted an offer at a research-intensive institution,Caucasian-American/European,60,0,Woman,Biological Sciences,NA,Postdoc,Yes,Not changed
19,0,0,NA,I did not recieve any offers,Caucasian-American/European,6,4,Man,Biological Sciences,Not at all,Postdoc,Yes,Not changed
20,0,0,NA,I did not recieve any offers,Caucasian-American/European,1,6,Man,Biological Sciences,NA,Postdoc,No,Not changed
21,0,0,0,I did not recieve any offers,Caucasian-American/European,0,1,Man,"Social, Behavior, & Economic Sciences",Not at all,Postdoc,Yes,Become weaker
22,0,0,0,I did not recieve any offers,Asian-American/Asian,34,0,Man,Engineering,NA,NA,Yes,Become weaker
