Dimension,MonthPosted,p values,Residuals,figure
2020,Aug,0,-13.995689375668922,3A
2020,Dec,0,7.033905133149581,3A
2020,Feb,0,7.7293589481458,3A
2020,Jan,0,21.30204547061356,3A
2020,Jul,0,-9.800667528331058,3A
2020,Jun,0,-7.618611112087896,3A
2020,May,3.68e-4,-4.474255831244933,3A
2020,Nov,1.59e-4,4.650079038521255,3A
2020,Oct,7e-5,4.818199382756921,3A
2020,Sep,0,-10.620053061022722,3A
2020,Aug,0,-13.226963932247942,3B
2020,Dec,0,6.5110374086832286,3B
2020,Feb,0,7.386903588985541,3B
2020,Jan,0,17.309910139897518,3B
2020,Jul,0,-9.160086371668376,3B
2020,Jun,0,-6.601451868985036,3B
2020,May,0.016206,-3.584575357955713,3B
2020,Nov,2.2e-5,5.045097243811687,3B
2020,Oct,0,6.186013984277262,3B
2020,Sep,0,-11.029331769308397,3B
2021,Dec,3.11e-4,4.510058368144115,3B
2021,Jan,1e-6,-5.709505243288433,3B
2021,Jul,0.376681,-2.6585608493860935,3B
2021,Mar,0.012003,3.662192491643764,3B
2021,Nov,0.474678,2.579682202935149,3B
2021,Oct,2.5e-5,-5.017008233103804,3B
2021,Sep,0.009137,3.7314728853708288,3B
2020,Apr,0,-5.957115277981364,3C
2020,Aug,0,-7.40346834479688,3C
2020,Feb,0,21.506431909089898,3C
2020,Jan,0,32.74851336219873,3C
2020,Jun,0,-11.504361721290795,3C
2020,May,0,-14.00691442839274,3C
2020,Nov,0,-7.270542934497104,3C
2020,Oct,0,-7.5377061684296915,3C
2021,Apr,0,-6.575467968425591,3C
2021,Aug,0,-6.081449678005964,3C
2021,Dec,0,11.037363197892972,3C
2021,Jan,0,-16.926754567828837,3C
2021,Mar,0,6.3080369273887635,3C
2021,May,0,10.57590271238005,3C
2021,Nov,0.107022,3.057807225710524,3C
2021,Oct,0.005137,-3.8741051158788307,3C
2021,Sep,8e-6,5.225772254868277,3C
