attribute_3a,value_3a,figure_3a,attribute_3b,value_3b,figure_3b,attribute_3c,value_3c,figure_3c
statistic.X-squared,7213.81193867179,3A,statistic.X-squared,5868.4038537091,3B,statistic.X-squared,NaN,3C
parameter.df,55,3A,parameter.df,55,3B,parameter.df,55,3C
p.value,0,3A,p.value,0,3B,p.value,NaN,3C
method,Pearson's Chi-squared test,3A,method,Pearson's Chi-squared test,3B,method,Pearson's Chi-squared test,3C
data.name,ten_track_count,3A,data.name,ecr_track_count,3B,data.name,temp_track_count,3C
observed1,365,3A,observed1,251,3B,observed1,1415,3C
observed2,459,3A,observed2,330,3B,observed2,2634,3C
observed3,743,3A,observed3,514,3B,observed3,3116,3C
observed4,488,3A,observed4,402,3B,observed4,1978,3C
observed5,635,3A,observed5,438,3B,observed5,2828,3C
observed6,620,3A,observed6,474,3B,observed6,0,3C
observed7,502,3A,observed7,361,3B,observed7,1975,3C
observed8,319,3A,observed8,202,3B,observed8,2026,3C
observed9,476,3A,observed9,317,3B,observed9,2826,3C
observed10,598,3A,observed10,426,3B,observed10,2671,3C
observed11,529,3A,observed11,378,3B,observed11,2930,3C
observed12,533,3A,observed12,400,3B,observed12,0,3C
observed13,417,3A,observed13,304,3B,observed13,2427,3C
observed14,394,3A,observed14,281,3B,observed14,2309,3C
observed15,335,3A,observed15,236,3B,observed15,2229,3C
observed16,571,3A,observed16,424,3B,observed16,3285,3C
observed17,637,3A,observed17,436,3B,observed17,3628,3C
observed18,455,3A,observed18,299,3B,observed18,0,3C
observed19,325,3A,observed19,224,3B,observed19,2008,3C
observed20,395,3A,observed20,281,3B,observed20,2698,3C
observed21,206,3A,observed21,130,3B,observed21,1561,3C
observed22,339,3A,observed22,236,3B,observed22,2233,3C
observed23,356,3A,observed23,234,3B,observed23,3130,3C
observed24,0,3A,observed24,0,3B,observed24,0,3C
observed25,273,3A,observed25,183,3B,observed25,2012,3C
observed26,347,3A,observed26,237,3B,observed26,2209,3C
observed27,131,3A,observed27,82,3B,observed27,1253,3C
observed28,286,3A,observed28,204,3B,observed28,2857,3C
observed29,279,3A,observed29,181,3B,observed29,2940,3C
observed30,0,3A,observed30,0,3B,observed30,0,3C
observed31,438,3A,observed31,308,3B,observed31,2738,3C
observed32,372,3A,observed32,258,3B,observed32,2196,3C
observed33,141,3A,observed33,95,3B,observed33,1456,3C
observed34,389,3A,observed34,263,3B,observed34,2486,3C
observed35,347,3A,observed35,224,3B,observed35,3213,3C
observed36,0,3A,observed36,0,3B,observed36,0,3C
observed37,524,3A,observed37,397,3B,observed37,2212,3C
observed38,608,3A,observed38,476,3B,observed38,2787,3C
observed39,189,3A,observed39,122,3B,observed39,2067,3C
observed40,522,3A,observed40,385,3B,observed40,3070,3C
observed41,688,3A,observed41,491,3B,observed41,4503,3C
observed42,0,3A,observed42,0,3B,observed42,0,3C
observed43,818,3A,observed43,637,3B,observed43,2099,3C
observed44,989,3A,observed44,762,3B,observed44,2800,3C
observed45,255,3A,observed45,195,3B,observed45,1557,3C
observed46,843,3A,observed46,683,3B,observed46,2314,3C
observed47,995,3A,observed47,767,3B,observed47,2908,3C
observed48,0,3A,observed48,0,3B,observed48,0,3C
observed49,1178,3A,observed49,988,3B,observed49,1919,3C
observed50,1137,3A,observed50,923,3B,observed50,1998,3C
observed51,951,3A,observed51,773,3B,observed51,3112,3C
observed52,1351,3A,observed52,1174,3B,observed52,2624,3C
observed53,1673,3A,observed53,1403,3B,observed53,3070,3C
observed54,0,3A,observed54,0,3B,observed54,0,3C
observed55,1409,3A,observed55,1160,3B,observed55,3531,3C
observed56,1525,3A,observed56,1199,3B,observed56,3128,3C
observed57,1133,3A,observed57,963,3B,observed57,2094,3C
observed58,1424,3A,observed58,1221,3B,observed58,3210,3C
observed59,1522,3A,observed59,1277,3B,observed59,3464,3C
observed60,0,3A,observed60,0,3B,observed60,0,3C
observed61,804,3A,observed61,648,3B,observed61,3012,3C
observed62,845,3A,observed62,671,3B,observed62,2495,3C
observed63,722,3A,observed63,622,3B,observed63,1824,3C
observed64,1069,3A,observed64,914,3B,observed64,3089,3C
observed65,1003,3A,observed65,774,3B,observed65,2994,3C
observed66,0,3A,observed66,0,3B,observed66,0,3C
observed67,557,3A,observed67,405,3B,observed67,1922,3C
observed68,703,3A,observed68,481,3B,observed68,1963,3C
observed69,648,3A,observed69,534,3B,observed69,1727,3C
observed70,956,3A,observed70,757,3B,observed70,2970,3C
observed71,734,3A,observed71,572,3B,observed71,2598,3C
observed72,0,3A,observed72,0,3B,observed72,0,3C
expected1,607.332127787824,3A,expected1,441.779285334667,3B,expected1,2143.06739404443,3C
expected2,645.878963230862,3A,expected2,459.477569012411,3B,expected2,2298.11953810199,3C
expected3,473.256178420735,3A,expected3,345.154187638728,3B,expected3,1950.68642665826,3C
expected4,705.175647980711,3A,expected4,533.885672304374,3B,expected4,2576.63185363164,3C
expected5,750.027245328511,3A,expected5,540.362491011974,3B,expected5,3002.49478756368,3C
expected6,128.329837251356,3A,expected6,88.340794697846,3B,expected6,0,3C
expected7,542.562266425558,3A,expected7,382.178510019696,3B,expected7,2224.88025838979,3C
expected8,576.998215792646,3A,expected8,397.489104948885,3B,expected8,2385.85160968437,3C
expected9,422.785051235684,3A,expected9,298.589176853097,3B,expected9,2025.15503387427,3C
expected10,629.971115129596,3A,expected10,461.858755119267,3B,expected10,2674.99629746337,3C
expected11,670.039445449066,3A,expected11,467.461781348673,3B,expected11,3117.1168005882,3C
expected12,114.64390596745,3A,expected12,76.4226717103823,3B,expected12,0,3C
expected13,515.406630500301,3A,expected13,363.106261918905,3B,expected13,2484.46155664093,3C
expected14,548.119035563593,3A,expected14,377.652796448557,3B,expected14,2664.21376240744,3C
expected15,401.624352019289,3A,expected15,283.688373401694,3B,expected15,2261.43398455963,3C
expected16,598.440602772755,3A,expected16,438.810141620033,3B,expected16,2987.09354813298,3C
expected17,636.503484026522,3A,expected17,444.133554256417,3B,expected17,3480.79714825902,3C
expected18,108.905895117541,3A,expected18,72.608872354394,3B,expected18,0,3C
expected19,297.427606992164,3A,expected19,202.642636070904,3B,expected19,2082.02103355916,3C
expected20,316.305075346594,3A,expected20,210.760777815988,3B,expected20,2232.65643873746,3C
expected21,231.766847498493,3A,expected21,158.321036671148,3B,expected21,1895.12013549709,3C
expected22,345.344327908379,3A,expected22,244.891518429362,3B,expected22,2503.23518985347,3C
expected23,367.309415310428,3A,expected23,247.862412855222,3B,expected23,2916.96720235282,3C
expected24,62.8467269439421,3A,expected24,40.5216181573764,3B,expected24,0,3C
expected25,241.464978902954,3A,expected25,162.66426985963,3B,expected25,2017.75228454388,3C
expected26,256.790548523207,3A,expected26,169.18082345953,3B,expected26,2163.7378092012,3C
expected27,188.15864978903,3A,expected27,127.086660205709,3B,expected27,1836.6207263274,3C
expected28,280.365907172996,3A,expected28,196.578078594429,3B,expected28,2425.96421537734,3C
expected29,298.198143459916,3A,expected29,198.962859911839,3B,expected29,2826.92496455018,3C
expected30,51.0217721518987,3A,expected30,32.5273079688624,3B,expected30,0,3C
expected31,309.537552742616,3A,expected31,210.528277112577,3B,expected31,2164.19194107452,3C
