Dimension,MonthPosted,p values,Residuals,figure
2020,Aug,0,-14.543495386847072,3A
2020,Dec,0,6.656429480457541,3A
2020,Feb,0.26787,2.9009424136617077,3A
2020,Jan,0,13.96265032585483,3A
2020,Jul,0,-10.130543076988864,3A
2020,Jun,0,-7.115603530149519,3A
2020,Mar,0.014387,-3.719251024676406,3A
2020,May,3.44e-4,-4.574309625525567,3A
2020,Nov,0.005999,3.9346506811675135,3A
2020,Oct,7.8e-5,4.876144917559683,3A
2020,Aug,0,-13.11428481417619,3B
2020,Dec,0,7.979090368573204,3B
2020,Jan,0,10.210942934799316,3B
2020,Jul,0,-9.933616110691602,3B
2020,Jun,0,-5.961138907978999,3B
2020,Mar,0.114277,-3.1582534743183945,3B
2020,May,8.46e-4,-4.382121544387454,3B
2020,Nov,2e-5,5.135127790384113,3B
2020,Oct,7e-6,5.341468944011569,3B
2021,Dec,0,7.097253429607013,3B
2021,Jan,0,-6.727912913348876,3B
2021,Nov,2.3e-4,4.658057226320244,3B
2020,Apr,0,-8.728804024981173,3C
2020,Aug,0,-9.020587633454815,3C
2020,Feb,0,20.2966743668791,3C
2020,Jan,0,30.043219078229814,3C
2020,Jul,0,-7.495623874541684,3C
2020,Jun,0,-13.190076528442006,3C
2020,May,0,-15.468139278473073,3C
2020,Nov,0,-8.857924804463032,3C
2020,Oct,0,-9.654525550363704,3C
2020,Sep,0,26.047251920545463,3C
2021,Apr,0,-6.344076480765831,3C
2021,Aug,2.1e-4,-4.676212808743812,3C
2021,Dec,0,13.473810748848164,3C
2021,Jan,0,-13.868768400204495,3C
2021,Mar,0,6.454020117737323,3C
2021,May,0,10.26585457602444,3C
2021,Nov,6.51e-4,4.43895824633726,3C
